datetime,strategy,market,sideUsd,size,tradingviewPrice,order_id
2024-09-15T23:40:08.482Z,fun,NEAR_USD,BUY,24.832,4.0280000000000005,1315042977
2024-09-15T23:45:08.022Z,fun,DOGE_USD,BUY,973.046,0.10278,1783278364
2024-09-15T23:55:08.524Z,fun,XRP_USD,BUY,175.4,0.5701,1030355757
2024-09-16T00:45:11.471Z,fun,NEAR_USD,BUY,25.068,3.987,940974924
2024-09-16T01:40:07.388Z,fun,XRP_USD,BUY,177.2,0.5642,1157702700
2024-09-16T01:40:14.102Z,fun,AVAX_USD,BUY,4.238,23.593,1966082811
2024-09-16T02:15:09.235Z,fun,NEAR_USD,BUY,25.374,3.943,350158160
2024-09-16T02:25:15.569Z,fun,DOGE_USD,BUY,990.883,0.10092,255573230
2024-09-16T09:55:12.926Z,fun,FIL_USD,BUY,29.231,3.422,773384276
2024-09-16T10:35:07.700Z,fun,BCH_USD,BUY,0.3195,312.84000000000003,949392330
2024-09-16T13:25:11.686Z,fun,AVAX_USD,BUY,4.226,23.659,641024474
2024-09-16T13:40:08.860Z,fun,FIL_USD,BUY,29.403,3.399,1442728109
2024-09-16T14:40:14.747Z,fun,FIL_USD,BUY,29.603,3.378,1388575248
2024-09-16T14:55:13.848Z,fun,AVAX_USD,BUY,4.277,23.394000000000002,155928845
2024-09-16T14:55:17.932Z,fun,NEAR_USD,BUY,25.793,3.876,2011349501
2024-09-16T15:05:06.965Z,fun,DOGE_USD,BUY,1000.5,0.09997,548495813
2024-09-16T17:05:06.504Z,fun,DOGE_USD,BUY,1008.064,0.09921,1756632859
2024-09-16T20:15:07.589Z,fun,XRP_USD,SELL,173.9,0.5862,371858816
2024-09-17T09:45:19.540Z,fun,BCH_USD,BUY,0.3204,312,449230850
2024-09-17T10:25:15.309Z,fun,NEAR_USD,SELL,43.444,4.131,1027052884
2024-09-17T23:40:58.793Z,fun,AVAX_USD,BUY,4.214,23.733,359702943
2024-09-18T00:30:21.499Z,fun,FIL_USD,BUY,29.069,3.436,720098789
2024-09-18T00:45:17.649Z,fun,NEAR_USD,BUY,24.654,4.058,1414752403
2024-09-18T05:25:23.706Z,fun,NEAR_USD,BUY,24.77,4.037,1206763794
2024-09-18T09:30:13.608Z,fun,NEAR_USD,BUY,24.931,4.013,1058905847
2024-09-18T09:35:13.797Z,fun,AVAX_USD,BUY,4.275,23.38,1769891914
2024-09-18T10:30:14.146Z,fun,XRP_USD,BUY,175,0.5713,425831444
2024-09-18T10:35:07.943Z,fun,FIL_USD,BUY,29.351,3.408,1893303566
2024-09-18T14:00:29.490Z,fun,FIL_USD,BUY,29.411,3.399,1725532756
2024-09-18T14:05:06.689Z,fun,XRP_USD,BUY,175.9,0.5680000000000001,329506127
2024-09-18T14:15:14.663Z,fun,BCH_USD,BUY,0.3243,308.47,87728571
2024-09-18T14:20:05.415Z,exo,OP_USD,BUY,71.112,1.4245,1932531762
2024-09-18T15:50:08.184Z,fun,FIL_USD,BUY,29.62,3.3770000000000002,1314957957
2024-09-18T16:00:27.385Z,fun,XRP_USD,BUY,177.1,0.5641,1019405434
2024-09-18T18:45:13.318Z,fun,XRP_USD,SELL,528,0.5763,86822439
2024-09-18T23:55:07.125Z,fun,NEAR_USD,SELL,74.355,4.232,393008870
2024-09-19T00:30:14.558Z,fun,DOGE_USD,SELL,1706.595,0.10466,705257356
2024-09-19T00:35:06.522Z,fun,BCH_USD,SELL,0.3951,338.27,1878164460
2024-09-19T00:40:05.133Z,fun,OP_USD,SELL,149.856,1.5370000000000001,1778792176
2024-09-19T00:40:17.310Z,fun,AVAX_USD,SELL,8.382,25.937,1218338414
2024-09-19T01:35:07.936Z,fun,FIL_USD,SELL,512.341,3.672,696003687
