market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
WLD/USDC:USDC,OPEN,,391.9,,1.5308,,,,,,,,
BNB/USDC:USDC,OPEN,,0.51,,565.723,,,,,,,,
SOL/USDC:USDC,OPEN,,4.19,,143.2906,,,,,,,,,
SUI/USDC:USDC,OPEN,,567.3,,0.88143,,,,,,,,
BNB/USDC:USDC,OPEN,,0.69,,562.732,,,,,,,,
LINK/USDC:USDC,OPEN,,9.7,,10.305,,,,,,,,
WLD/USDC:USDC,OPEN,,458,,1.52793,,,,,,,,
SOL/USDC:USDC,OPEN,,4.9,,142.9949,,,,,,,,
SEI/USDC:USDC,OPEN,,376,,0.26584,,,,,,,,
SUI/USDC:USDC,OPEN,,685,,0.87605,,,,,,,,
AAVE/USDC:USDC,OPEN,,1.62,,131.02,,,,,,,,
BNB/USDC:USDC,OPEN,,0.87,,560.735,,,,,,,,,
SEI/USDC:USDC,OPEN,,755,,0.264916,,,,,,,,
WLD/USDC:USDC,OPEN,,524.7,,1.5243,,,,,,,,
AAVE/USDC:USDC,OPEN,,2.36,,132.4184,,,,,,,,
SOL/USDC:USDC,OPEN,,5.62,,142.5702,,,,,,,,
LINK/USDC:USDC,OPEN,,19.5,,10.26881,,,,,,,,
TON/USDC:USDC,OPEN,,148.3,,6.75055,,,,,,,,
BTC/USDC:USDC,OPEN,,0.01343,,59506,,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1549,,2577.21,,,,,,,,,
ARB/USDC:USDC,OPEN,,565.3,,0.5309,,,,,,,,,
SUI/USDC:USDC,OPEN,,804.6,,0.87003,,,,,,,,
SEI/USDC:USDC,OPEN,,1139,,0.263484,,,,,,,,
LTC/USDC:USDC,OPEN,,13.83,,64.8291,,,,,,,,
LTC/USDC:USDC,OPEN,,15.43,,64.5535,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.07,,134.0076,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.08,,134.0248,,,,,,,,
TON/USDC:USDC,OPEN,,163.7,,6.72783,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00164,,61007,,,,,,,,
ETH/USDC:USDC,OPEN,,0.038,,2627.8,,,,,,,,
SOL/USDC:USDC,OPEN,,0.7,,143.07,,,,,,,,
SUI/USDC:USDC,OPEN,,922.2,,0.86747,,,,,,,,
BNB/USDC:USDC,OPEN,,0.17,,568.37,,,,,,,,
DOT/USDC:USDC,OPEN,,-21.5,,4.6508,,,,,,,,
SUI/USDC:USDC,OPEN,,1040.4,,0.86512,,,,,,,,
SOL/USDC:USDC,OPEN,,1.4,,142.655,,,,,,,,
LTC/USDC:USDC,OPEN,,17,,64.4769,,,,,,,,
WLD/USDC:USDC,OPEN,,64.2,,1.5578,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.8,,134.8992,,,,,,,,
AAVE/USDC:USDC,OPEN,,4.53,,135.3119,,,,,,,,
AAVE/USDC:USDC,OPEN,,5.26,,135.5517,,,,,,,,
SOL/USDC:USDC,OPEN,,2.11,,142.0543,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00331,,60499.9,,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0766,,2608.75,,,,,,,,
TON/USDC:USDC,OPEN,,179,,6.71237,,,,,,,,
TON/USDC:USDC,OPEN,,194.5,,6.69188,,,,,,,,
SUI/USDC:USDC,OPEN,,1159.2,,0.86273,,,,,,,,
AAVE/USDC:USDC,OPEN,,6,,135.5774,,,,,,,,
AAVE/USDC:USDC,OPEN,,6.74,,135.5063,,,,,,,,
LTC/USDC:USDC,OPEN,,18.58,,64.3732,,,,,,,,
TIA/USDC:USDC,OPEN,,-19.6,,5.1927,,,,,,,,
TIA/USDC:USDC,OPEN,,-0.3,,5.1927,,,,,,,,
TIA/USDC:USDC,OPEN,,18.8,,5.233,,,,,,,,
SUI/USDC:USDC,OPEN,,1277.8,,0.86098,,,,,,,,
SEI/USDC:USDC,OPEN,,350,,0.28535,,,,,,,,
TIA/USDC:USDC,OPEN,,-19.5,,5.22274,,,,,,,,
TIA/USDC:USDC,OPEN,,18.8,,5.2416,,,,,,,,
TON/USDC:USDC,OPEN,,209.9,,6.67756,,,,,,,,
BNB/USDC:USDC,OPEN,,0.17,,579.58,,,,,,,,
LTC/USDC:USDC,OPEN,,20.16,,64.2629,,,,,,,,
DOT/USDC:USDC,OPEN,,-21.6,,4.6334,,,,,,,,
WLD/USDC:USDC,OPEN,,61.2,,1.6343,,,,,,,,
LTC/USDC:USDC,OPEN,,21.75,,64.1591,,,,,,,,
SEI/USDC:USDC,OPEN,,707,,0.282623,,,,,,,,
INJ/USDC:USDC,OPEN,,-10.3,,19.9928,,,,,,,,
BNB/USDC:USDC,OPEN,,0.34,,576.35,,,,,,,,
LINK/USDC:USDC,OPEN,,8.8,,11.368,,,,,,,,
TON/USDC:USDC,OPEN,,225.2,,6.66807,,,,,,,,
TIA/USDC:USDC,OPEN,,-19.7,,5.1517,,,,,,,,
TIA/USDC:USDC,OPEN,,19,,5.21719,,,,,,,,
LINK/USDC:USDC,OPEN,,7.3,,11.368,,,,,,,,
AAVE/USDC:USDC,OPEN,,0.75,,134.04,,,,,,,,
ARB/USDC:USDC,OPEN,,178.2,,0.56171,,,,,,,,
SUI/USDC:USDC,OPEN,,116,,0.86285,,,,,,,,
SOL/USDC:USDC,OPEN,,0.69,,144.93,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00164,,61089,,,,,,,,
TON/USDC:USDC,OPEN,,240.4,,6.66255,,,,,,,,
LINK/USDC:USDC,OPEN,,8.6,,11.579,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00328,,60959,,,,,,,,,
WLD/USDC:USDC,OPEN,,58.9,,1.6985,,,,,,,,
SOL/USDC:USDC,OPEN,,1.38,,144.435,,,,,,,,
ARB/USDC:USDC,OPEN,,175.5,,0.57037,,,,,,,,
SEI/USDC:USDC,OPEN,,322,,0.31041,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0377,,2653.3,,,,,,,,
AAVE/USDC:USDC,OPEN,,0.74,,135.55,,,,,,,,
TON/USDC:USDC,OPEN,,14.8,,6.7463,,,,,,,,
AAVE/USDC:USDC,OPEN,,0.7,,142.26,,,,,,,,
TON/USDC:USDC,OPEN,,29.8,,6.69978,,,,,,,,
AAVE/USDC:USDC,OPEN,,1.41,,141.9175,,,,,,,,
LTC/USDC:USDC,OPEN,,1.51,,65.916,,,,,,,,
SUI/USDC:USDC,OPEN,,100,,1.0005,,,,,,,,
BNB/USDC:USDC,OPEN,,0.17,,586.48,,,,,,,,
WLD/USDC:USDC,OPEN,,54.3,,1.8406,,,,,,,,
kSHIB/USDC:USDC,OPEN,,6577,,0.015174,,,,,,,,
SUI/USDC:USDC,OPEN,,201,,0.99482,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00157,,63694,,,,,,,,
BNB/USDC:USDC,OPEN,,0.34,,585.48,,,,,,,,
BNB/USDC:USDC,OPEN,,0.51,,583.52,,,,,,,,
BNB/USDC:USDC,OPEN,,0.68,,582,,,,,,,,
TON/USDC:USDC,OPEN,,14.9,,6.7078,,,,,,,,
BNB/USDC:USDC,OPEN,,0.85,,580.936,,,,,,,,
TON/USDC:USDC,OPEN,,29.9,,6.69912,,,,,,,,
SEI/USDC:USDC,OPEN,,295,,0.33907,,,,,,,,
AAVE/USDC:USDC,OPEN,,2.14,,140.4072,,,,,,,,
SUI/USDC:USDC,OPEN,,98.9,,1.0102,,,,,,,,
BNB/USDC:USDC,OPEN,,1.02,,580.58,,,,,,,,
SEI/USDC:USDC,OPEN,,585,,0.341647,,,,,,,,
TON/USDC:USDC,OPEN,,14.9,,6.719,,,,,,,,
LTC/USDC:USDC,OPEN,,1.49,,66.854,,,,,,,,
LINK/USDC:USDC,OPEN,,8.3,,12.046,,,,,,,,
WLD/USDC:USDC,OPEN,,52.5,,1.9052,,,,,,,,
AAVE/USDC:USDC,OPEN,,2.87,,139.7135,,,,,,,,
TON/USDC:USDC,OPEN,,14.8,,6.7659,,,,,,,,
ETH/USDC:USDC,OPEN,,0.036,,2778.7,,,,,,,,
SUI/USDC:USDC,OPEN,,98.2,,1.019,,,,,,,,
kBONK/USDC:USDC,OPEN,,4460,,0.022426,,,,,,,,
LTC/USDC:USDC,OPEN,,0.26,,67.578,,,,,,,,
LTC/USDC:USDC,OPEN,,1.48,,67.578,,,,,,,,
TON/USDC:USDC,OPEN,,30.5,,6.54841,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00156,,63995,,,,,,,,,
SEI/USDC:USDC,OPEN,,291,,0.34394,,,,,,,,
SOL/USDC:USDC,OPEN,,0.63,,159.53,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0719,,2779.89,,,,,,,,,
SUI/USDC:USDC,OPEN,,196.6,,1.01729,,,,,,,,,
LINK/USDC:USDC,OPEN,,8.1,,12.331,,,,,,,,
ARB/USDC:USDC,OPEN,,161.4,,0.61892,,,,,,,,
kSHIB/USDC:USDC,OPEN,,6381,,0.015668,,,,,,,,,
kBONK/USDC:USDC,OPEN,,9018,,0.022163,,,,,,,,
WLD/USDC:USDC,OPEN,,104.4,,1.91568,,,,,,,,
LTC/USDC:USDC,OPEN,,2.97,,67.2112,,,,,,,,
TRX/USDC:USDC,OPEN,,634,,0.15765,,,,,,,,
BNB/USDC:USDC,OPEN,,0.17,,581.42,,,,,,,,
RUNE/USDC:USDC,OPEN,,-48,,4.4474,,,,,,,,
RUNE/USDC:USDC,OPEN,,-22.6,,4.4474,,,,,,,,
kPEPE/USDC:USDC,OPEN,,10812,,0.009249,,,,,,,,
ONDO/USDC:USDC,OPEN,,127,,0.76293,,,,,,,,
kBONK/USDC:USDC,OPEN,,13644,,0.021976,,,,,,,,
LINK/USDC:USDC,OPEN,,16.3,,12.27264,,,,,,,,
SEI/USDC:USDC,OPEN,,584,,0.34257,,,,,,,,
SOL/USDC:USDC,OPEN,,0.63,,159.04,,,,,,,,
WLD/USDC:USDC,OPEN,,158,,1.89842,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1081,,2772.83,,,,,,,,,
BNB/USDC:USDC,OPEN,,0.34,,579.525,,,,,,,,,
LTC/USDC:USDC,OPEN,,4.48,,66.8178,,,,,,,,,
kSHIB/USDC:USDC,OPEN,,12873,,0.015532,,,,,,,,
TRX/USDC:USDC,OPEN,,631,,0.15853,,,,,,,,
SUI/USDC:USDC,OPEN,,296.3,,1.01275,,,,,,,,
