market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
AVAX-USD,OPEN,LONG,91.3,91.3,24.93155531215772179628,,2024-08-25T23:53:35.013Z,23691727,,91.3,0,0.063493,0
FIL-USD,OPEN,LONG,472,472,3.9495169491525423729,,2024-08-24T12:59:16.751Z,23576169,,472,0,0.014363,0
ATOM-USD,OPEN,LONG,454,454,4.92801762114537444935,,2024-08-24T21:11:07.203Z,23603237,,454,0,0.544985,0
BCH-USD,OPEN,LONG,6.9,6.9,341.96318840579710144927,,2024-08-24T18:10:10.421Z,23593355,,6.9,0,1.577342,0,
ADA-USD,OPEN,LONG,5320,5320,0.36952330827067669173,,2024-08-24T01:42:04.320Z,23538689,,5320,0,-0.002798,0
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.05387,0
NEAR-USD,OPEN,LONG,307,307,4.47001954397394136806,,2024-08-27T21:02:30.643Z,23844081,,307,0,0.058976,0
DOT-USD,OPEN,LONG,2089,2089,4.99715222594542843468,,2024-07-22T01:28:19.683Z,20898387,,2089,0,31.949275,0
XRP-USD,OPEN,LONG,2650,2650,0.58345962264150943396,,2024-08-25T01:43:05.841Z,23617924,,2650,0,-0.014778,0,
DOGE-USD,OPEN,LONG,19100,19100,0.10592136125654450262,,2024-08-24T18:08:03.875Z,23593240,,19100,0,-0.125765,0
AVAX-USD,OPEN,LONG,95.5,95.5,24.86507853403141361257,,2024-08-25T23:53:35.013Z,23691727,,95.5,0,0.063493,0,
MATIC-USD,OPEN,LONG,5730,5730,0.47644904013961605585,,2024-08-25T01:42:35.289Z,23617896,,5730,0,0.014838,0
BCH-USD,OPEN,LONG,7.21,7.21,341.03606102635228848821,,2024-08-24T18:10:10.421Z,23593355,,7.21,0,1.577342,0
AVAX-USD,OPEN,LONG,99.7,99.7,24.797041123370110331,,2024-08-25T23:53:35.013Z,23691727,,99.7,0,0.063493,0,
ADA-USD,OPEN,LONG,5600,5600,0.36872214285714285714,,2024-08-24T01:42:04.320Z,23538689,,5600,0,-0.002798,0
NEAR-USD,OPEN,LONG,330,330,4.45607878787878787877,,2024-08-27T21:02:30.643Z,23844081,,330,0,0.058976,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.544985,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.014838,0,
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.014363,0,
DOT-USD,OPEN,LONG,2112,2112,4.98873248106060606063,,2024-07-22T01:28:19.683Z,20898387,,2112,0,31.949275,0
XRP-USD,OPEN,LONG,2820,2820,0.5821599290780141844,,2024-08-25T01:43:05.841Z,23617924,,2820,0,-0.014778,0,
DOGE-USD,OPEN,LONG,20100,20100,0.10556855721393034826,,2024-08-24T18:08:03.875Z,23593240,,20100,0,-0.125765,0
NEAR-USD,OPEN,LONG,330,330,4.45607878787878787877,,2024-08-27T21:02:30.643Z,23844081,,330,0,0.059306,0,
AVAX-USD,OPEN,LONG,99.7,99.7,24.797041123370110331,,2024-08-25T23:53:35.013Z,23691727,,99.7,0,0.066484,0,
BCH-USD,OPEN,LONG,7.21,7.21,341.03606102635228848821,,2024-08-24T18:10:10.421Z,23593355,,7.21,0,1.589599,0,
DOT-USD,OPEN,LONG,2112,2112,4.98873248106060606063,,2024-07-22T01:28:19.683Z,20898387,,2112,0,31.964059,0
NEAR-USD,OPEN,LONG,353,353,4.44024079320113314446,,2024-08-27T21:02:30.643Z,23844081,,353,0,0.059306,0
BCH-USD,OPEN,LONG,7.52,7.52,340.08643617021276595745,,2024-08-24T18:10:10.421Z,23593355,,7.52,0,1.589599,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,31.964059,0
NEAR-USD,OPEN,LONG,353,353,4.44024079320113314446,,2024-08-27T21:02:30.643Z,23844081,,353,0,0.060365,0,
BCH-USD,OPEN,LONG,7.52,7.52,340.08643617021276595745,,2024-08-24T18:10:10.421Z,23593355,,7.52,0,1.611407,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,31.981139,0
NEAR-USD,OPEN,LONG,353,353,4.44024079320113314446,,2024-08-27T21:02:30.643Z,23844081,,353,0,0.068837,0,
AVAX-USD,OPEN,LONG,99.7,99.7,24.797041123370110331,,2024-08-25T23:53:35.013Z,23691727,,99.7,0,0.069475,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.54926,0,
BCH-USD,OPEN,LONG,7.52,7.52,340.08643617021276595745,,2024-08-24T18:10:10.421Z,23593355,,7.52,0,1.664799,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.023839,0
NEAR-USD,OPEN,LONG,353,353,4.44024079320113314446,,2024-08-27T21:02:30.643Z,23844081,,353,0,0.073779,0,
AVAX-USD,OPEN,LONG,99.7,99.7,24.797041123370110331,,2024-08-25T23:53:35.013Z,23691727,,99.7,0,0.081439,0,
XRP-USD,OPEN,LONG,2820,2820,0.5821599290780141844,,2024-08-25T01:43:05.841Z,23617924,,2820,0,-0.013368,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.55876,0,
BCH-USD,OPEN,LONG,7.52,7.52,340.08643617021276595745,,2024-08-24T18:10:10.421Z,23593355,,7.52,0,1.732479,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.055864,0
AVAX-USD,OPEN,LONG,104,104,24.7194326923076923077,,2024-08-25T23:53:35.013Z,23691727,,104,0,0.081439,0,
BCH-USD,OPEN,LONG,7.83,7.83,339.25951468710089399745,,2024-08-24T18:10:10.421Z,23593355,,7.83,0,1.732479,0
AVAX-USD,OPEN,LONG,104,104,24.7194326923076923077,,2024-08-25T23:53:35.013Z,23691727,,104,0,0.084559,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.561135,0,
BCH-USD,OPEN,LONG,7.83,7.83,339.25951468710089399745,,2024-08-24T18:10:10.421Z,23593355,,7.83,0,1.746573,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.064404,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.061399,0
OP-USD,OPEN,LONG,69,69,1.431,,2024-08-29T18:14:08.114Z,23999208,,69,0,0.000069,0,
AVAX-USD,OPEN,LONG,104,104,24.7194326923076923077,,2024-08-25T23:53:35.013Z,23691727,,104,0,0.088719,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.56161,0,
BCH-USD,OPEN,LONG,7.83,7.83,339.25951468710089399745,,2024-08-24T18:10:10.421Z,23593355,,7.83,0,1.763799,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.079349,0
NEAR-USD,OPEN,LONG,353,353,4.44024079320113314446,,2024-08-27T21:02:30.643Z,23844081,,353,0,0.074838,0,
AVAX-USD,OPEN,LONG,104,104,24.7194326923076923077,,2024-08-25T23:53:35.013Z,23691727,,104,0,0.093919,0,
XRP-USD,OPEN,LONG,2820,2820,0.5821599290780141844,,2024-08-25T01:43:05.841Z,23617924,,2820,0,-0.01224,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.56541,0,
BCH-USD,OPEN,LONG,7.83,7.83,339.25951468710089399745,,2024-08-24T18:10:10.421Z,23593355,,7.83,0,1.76928,0,
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.015361,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.107104,0
ADA-USD,OPEN,LONG,5880,5880,0.36813061224489795918,,2024-08-24T01:42:04.320Z,23538689,,5880,0,-0.002798,0
BCH-USD,OPEN,LONG,8.14,8.14,338.56031941031941031941,,2024-08-24T18:10:10.421Z,23593355,,8.14,0,1.76928,0,
DOGE-USD,OPEN,LONG,21100,21100,0.10529706161137440758,,2024-08-24T18:08:03.875Z,23593240,,21100,0,-0.125765,0
OP-USD,OPEN,LONG,69,69,1.431,,2024-08-29T18:14:08.114Z,23999208,,69,0,0.000138,0,
NEAR-USD,OPEN,LONG,353,353,4.44024079320113314446,,2024-08-27T21:02:30.643Z,23844081,,353,0,0.07625,0,
AVAX-USD,OPEN,LONG,104,104,24.7194326923076923077,,2024-08-25T23:53:35.013Z,23691727,,104,0,0.094959,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.56921,0,
BCH-USD,OPEN,LONG,8.14,8.14,338.56031941031941031941,,2024-08-24T18:10:10.421Z,23593355,,8.14,0,1.78149,0,
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.017357,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.132724,0
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.569685,0,
BCH-USD,OPEN,LONG,8.14,8.14,338.56031941031941031941,,2024-08-24T18:10:10.421Z,23593355,,8.14,0,1.790444,0,
FIL-USD,OPEN,LONG,499,499,3.93266132264529058118,,2024-08-24T12:59:16.751Z,23576169,,499,0,0.018355,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.136994,0,
DYDX-USD,OPEN,LONG,7529,7529,1.18055917120467525569,,2024-06-07T06:57:45.111Z,17606805,,7529,0,-15.068928,0
ADA-USD,OPEN,LONG,6160,6160,0.36750649350649350649,,2024-08-24T01:42:04.320Z,23538689,,6160,0,-0.002798,0
XRP-USD,OPEN,LONG,2990,2990,0.58097391304347826087,,2024-08-25T01:43:05.841Z,23617924,,2990,0,-0.01224,0
BCH-USD,OPEN,LONG,8.14,8.14,338.56031941031941031941,,2024-08-24T18:10:10.421Z,23593355,,8.14,0,1.795328,0,
DOT-USD,OPEN,LONG,2135,2135,4.98040796252927400471,,2024-07-22T01:28:19.683Z,20898387,,2135,0,32.164749,0
MATIC-USD,OPEN,LONG,5960,5960,0.47427063758389261745,,2024-08-25T01:42:35.289Z,23617896,,5960,0,0.012454,0,
ATOM-USD,OPEN,LONG,475,475,4.91245473684210526317,,2024-08-24T21:11:07.203Z,23603237,,475,0,0.57016,0,
BCH-USD,OPEN,LONG,8.14,8.14,338.56031941031941031941,,2024-08-24T18:10:10.421Z,23593355,,8.14,0,1.79777,0,
